t,price_usd_close,volume_sum,active_count,transfers_volume_entity_adjusted_sum,fee_zscore_maxmin,fee_zscore,volume_ratio_maxmin,volume_ratio,actaddress_ratio_maxmin,actaddress_ratio,aggregate_indicator_equalweight,aggregate_indicator_PCA,aggregate_indicator_manual
2014-01-01,753.405480556,6980.526046116474,94589,133218049.8481158,,,,,,,,0.0019462265106553467,
2014-01-02,784.280603894,10495.963895589384,135242,153470987.59016904,,,,,,,,0.0019462265106553467,
2014-01-03,807.915916232,11026.13732844043,141063,202895374.69365075,,,,,,,,0.0019462265106553467,
2014-01-04,828.7459845879999,9984.108337707294,115579,187541450.2129939,,,,,,,,0.0019462265106553467,
2014-01-05,904.760075074,12170.586861921049,134235,219175238.08925077,,,,,,,,0.0019462265106553467,
2014-01-06,917.382725522,27771.738078685772,176975,239686509.34884652,,,,,,,,0.0019462265106553467,
2014-01-07,789.593524042,13742.467113185316,140702,187569029.74587977,,,,,,,,0.0019462265106553467,
2014-01-08,822.864923038,11487.699659421933,145049,177215863.89628533,,,,,,,,0.0019462265106553467,
2014-01-09,825.8665006040001,10509.633114588652,132972,130945914.71242952,,,,,,,,0.0019462265106553467,
2014-01-10,854.445450584,10341.275360828413,124371,113735781.09300353,,,,,,,,0.0019462265106553467,
2014-01-11,893.6831232820001,10770.647138187747,128823,148794549.25054654,,,,,,,,0.0019462265106553467,
2014-01-12,843.286613774,10192.120021801664,114282,157487353.41881546,,,,,,,,0.0019462265106553467,
2014-01-13,822.530427934,9796.752846960411,150180,132862678.4889196,,,,,,,,0.0019462265106553467,
2014-01-14,815.996819406,13231.714812999871,129740,215706158.41299188,,,,,,,,0.0019462265106553467,
2014-01-15,840.1151583520001,14074.041397244093,130805,194796163.80516505,,,,,,,,0.0019462265106553467,
2014-01-16,814.4962523859999,11029.074475554027,130710,186793738.5954442,,,,,,,,0.0019462265106553467,
2014-01-17,794.5266687980001,11727.470818893762,128263,165269385.78446224,,,,,,,,0.0019462265106553467,
2014-01-18,811.37762176,10270.220525383402,106150,128903471.20514272,,,,,,,,0.0019462265106553467,
2014-01-19,841.4564324119999,9323.427768548843,108455,127285247.24610694,,,,,,,,0.0019462265106553467,
2014-01-20,826.696425026,12704.162284520433,178427,144170705.21935672,,,,,,,,0.0019462265106553467,
2014-01-21,824.875769878,12828.181805631048,157839,186135258.3975581,,,,,,,,0.0019462265106553467,
2014-01-22,818.534270204,12078.272890555976,150561,168559017.8188664,,,,,,,,0.0019462265106553467,
2014-01-23,810.869203164,13672.4267258226,149153,176610712.7379437,,,,,,,,0.0019462265106553467,
2014-01-24,779.3849452420001,12066.424393668309,140660,207703517.86434713,,,,,,,,0.0019462265106553467,
2014-01-25,805.652675222,9437.174738668764,124761,128065463.19176573,,,,,,,,0.0019462265106553467,
